Tahun;Provinsi;Kabupaten/Kota;Sisa Makanan (%);Kayu-Ranting (%);Kertas-Karton (%);Plastik(%);Logam(%);Kain(%);Karet- Kulit (%);Kaca(%);Lainnya(%)
2021;Sumatera Barat;Kab. Pasaman;;;;;;;;;
2021;Sumatera Barat;Kab. Dharmasraya;;;40;29;27;;;;
2021;Sumatera Barat;Kab. Solok Selatan;34,25;0,78;16,35;25,69;0,13;0,59;0,55;2,41;19,25
2021;Sumatera Barat;Kota Padang;62,8;6,84;5,7;12,4;0,19;3,3;1,5;2,4;4,87
2021;Sumatera Barat;Kota Solok;45,66;11,37;10,01;22,02;0,62;0,52;0,19;1,2;8,41
2021;Sumatera Barat;Kota Sawahlunto;;;;;;;;;
2021;Sumatera Barat;Kota Padang Panjang;43,15;23,56;14,35;12,67;1,5;0,95;0,8;1,19;1,83
2021;Sumatera Barat;Kota Payakumbuh;51,62;7,43;11,42;21,54;0,65;1,56;0,57;0,87;4,34
2021;Riau;Kab. Indragiri Hilir;65;2;2;30;;1;;;
2021;Riau;Kab. Siak;39;15;10;26;1;2;2;3;2
2021;Riau;Kota Pekanbaru;59;3;12;10;2;1;1;1;11
2021;Riau;Kota Dumai;45,75;7,25;5,67;8,45;2,75;3,75;4,15;3,65;18,58
2021;Jambi;Kab. Merangin;40;5;11;5;30;1;5;1;2
2021;Jambi;Kab. Bungo;60,5;4,1;14,1;5,9;1,8;1,5;5,15;1;5,95
2021;Jambi;Kota Jambi;16,11;23,84;7,38;44,07;0,89;0,57;1,23;0,3;5,61
2021;Sumatera Selatan;Kab. Muara Enim;61,02;8,07;7,38;17,18;1,14;1,33;0,36;0,31;3,21
2021;Sumatera Selatan;Kab. Lahat;50;15;5;15;5;;;5;5
2021;Sumatera Selatan;Kab. Musi Banyuasin;50;10;10;10;10;1;5;3;1
2021;Sumatera Selatan;Kab. Ogan Komering Ulu Timur;12;9;22;27;3;5;3;2;17
2021;Sumatera Selatan;Kota Palembang;56,9;5,4;15,1;17,5;0,5;2,7;0,3;0,8;0,8
2021;Sumatera Selatan;Kota Prabumulih;52,5;9,8;5,6;24,6;2;1,8;0,8;1,7;1,2
2021;Bengkulu;Kab. Seluma;45;35;7;8;4;0,5;;0,5;
2021;Lampung;Kab. Lampung Tengah;5;40;4;48;;2;;1;
2021;Lampung;Kab. Tanggamus;36,32;22,03;8,92;16,8;4,07;3,08;2,58;4,86;1,34
2021;Lampung;Kab. Way Kanan;0,6;0,19;0,04;0,08;0,04;0,02;0,02;0,01;0
2021;Lampung;Kab. Pringsewu;33;15;5;6;15;;;3;23
2021;Lampung;Kota Bandar Lampung;40,4;12,9;11,7;17,4;3,1;2,5;1,8;2,3;7,9
2021;Lampung;Kota Metro;56,47;6,24;9,4;24,07;0,56;1,25;0,27;0,88;0,86
2021;Kepulauan Bangka Belitung;Kab. Bangka;39,85;13,96;12,07;16,97;3,37;2,69;1,98;2,31;6,8
2021;Kepulauan Bangka Belitung;Kab. Belitung;0,75;40;2;30;2,5;3;3;5;13,75
2021;Kepulauan Bangka Belitung;Kab. Bangka Selatan;17,77;29,46;10,04;12,01;14,97;3,84;3,98;4,99;2,94
2021;Kepulauan Bangka Belitung;Kab. Bangka Tengah;41,9;8,5;3,8;14,4;3,8;4,9;0;5,6;17,1
2021;Kepulauan Bangka Belitung;Kota Pangkal Pinang;51,9;13,6;7,2;13,5;2,2;3,1;2;1,6;4,9
2021;Kepulauan Riau;Kab. Bintan;37,66;5,4;23,89;14;0,7;5,25;4,6;3;5,5
2021;Kepulauan Riau;Kab. Karimun;23;19;24;24,5;4;2,5;1,5;1,2;0,3
2021;Kepulauan Riau;Kota Tanjung Pinang;;;;;;;;;
2021;DKI Jakarta;Kab. Adm. Kep. Seribu;;;;;;;;;
2021;DKI Jakarta;Kota Adm. Jakarta Pusat;;;;;;;;;
2021;DKI Jakarta;Kota Adm. Jakarta Utara;;;;;;;;;
2021;DKI Jakarta;Kota Adm. Jakarta Barat;;;;;;;;;
2021;DKI Jakarta;Kota Adm. Jakarta Selatan;;;;;;;;;
2021;DKI Jakarta;Kota Adm. Jakarta Timur;;;;;;;;;
2021;Jawa Barat;Kab. Bandung;;;;;;;;;
2021;Jawa Barat;Kab. Garut;59,3;;6,3;20,5;1;2,6;;3,4;6,9
2021;Jawa Barat;Kab. Ciamis;34,4;0,4;15;15;10,7;6,4;1,7;16,1;0,3
2021;Jawa Barat;Kab. Cirebon;;;;;;;;;
2021;Jawa Barat;Kab. Sumedang;20;5;15;40;3;3;2;2;10
2021;Jawa Barat;Kab. Indramayu;27;6,4;25;35,8;1;1,8;0,8;0,7;1,5
2021;Jawa Barat;Kota Bogor;40;14;20;15;1;2,5;0,5;1;6
2021;Jawa Barat;Kota Sukabumi;59,35;;9,08;12,61;0,42;0,9;;0,6;17,04
2021;Jawa Barat;Kota Bandung;44,52;3,98;13,12;16,7;0,9;4,75;2,38;1,97;11,68
2021;Jawa Barat;Kota Cirebon;49,22;11,76;5,56;19,01;0,71;1,76;0,58;1,43;9,97
2021;Jawa Barat;Kota Bekasi;65,2;7,2;4,2;15,6;0,2;6,3;0,5;0,5;0,3
2021;Jawa Barat;Kota Depok;62,95;0,57;6,1;21,36;0,14;0,57;0,5;0,57;7,24
2021;Jawa Barat;Kota Cimahi;;50,6;8,6;15,6;3,1;5,3;;3;13,8
2021;Jawa Tengah;Kab. Cilacap;57,67;10,63;9,71;16,42;1,33;1,25;0,51;0,65;1,83
2021;Jawa Tengah;Kab. Banyumas;36;6;6;30;9;5;3;5;
2021;Jawa Tengah;Kab. Purbalingga;60,51;2,2;8,91;18,35;0,71;2,34;5,18;0,88;0,92
2021;Jawa Tengah;Kab. Purworejo;3;67;6;9;4;0,5;0,3;1;8,2
2021;Jawa Tengah;Kab. Wonosobo;;;;;;;;;
2021;Jawa Tengah;Kab. Magelang;37,8;3,9;26,2;17,9;1,3;1,1;0,8;2,4;8,6
2021;Jawa Tengah;Kab. Boyolali;;;;;;;;;
2021;Jawa Tengah;Kab. Klaten;67,42;3,82;10,46;15,05;0,1;0,42;0,08;0,65;2
2021;Jawa Tengah;Kab. Sukoharjo;62,4;1,88;8,01;15,93;1,68;1,98;1,82;1,27;5,03
2021;Jawa Tengah;Kab. Wonogiri;25;10;20;25;5;5;2,5;5;2,5
2021;Jawa Tengah;Kab. Karanganyar;63;2;5;20;1;2;2;3;2
2021;Jawa Tengah;Kab. Sragen;74,7;0,8;8,4;11,3;0,5;1,9;0,3;1,8;0,3
2021;Jawa Tengah;Kab. Blora;20;5;18;40;10;2;2;2,5;0,5
2021;Jawa Tengah;Kab. Rembang;38,12;1,59;13,38;34,45;0,93;1,88;0,77;1,33;7,55
2021;Jawa Tengah;Kab. Pati;;;;;;;;;
2021;Jawa Tengah;Kab. Jepara;32,24;22,75;10,86;21,7;0,78;2,12;0,53;1,68;7,34
2021;Jawa Tengah;Kab. Demak;32,3;20,76;9,06;23,07;0,6;1,77;0,44;1,23;10,77
2021;Jawa Tengah;Kab. Semarang;3;9;23;30;4;4;2;5;20
2021;Jawa Tengah;Kab. Temanggung;37,97;22,81;11,09;14,91;2,31;2,39;1,18;2,46;4,88
2021;Jawa Tengah;Kab. Batang;28;13;13;16;7;6;3;6;8
2021;Jawa Tengah;Kab. Pekalongan;2;6;7;9;1;3;1;;71
2021;Jawa Tengah;Kab. Pemalang;;;;;;;;;
2021;Jawa Tengah;Kab. Tegal;20;16;18;33;3;2;2;1;5
2021;Jawa Tengah;Kab. Brebes;2;80;2;11;1;1;1;1;1
2021;Jawa Tengah;Kota Magelang;33,7;13,3;18,8;21,5;0,8;1,8;0,5;3,7;5,9
2021;Jawa Tengah;Kota Salatiga;;;;;;;;;
2021;Jawa Tengah;Kota Semarang;60,79;;10,18;17,2;1,22;4,94;1;1,79;2,88
2021;Jawa Tengah;Kota Tegal;54;11;8,5;14;1;7;2;2;0,5
2021;D.I. Yogyakarta;Kab. Kulon Progo;67,18;;12,6;17,22;1,68;0,21;;1,11;
2021;D.I. Yogyakarta;Kab. Sleman;;;;;;;;;
2021;D.I. Yogyakarta;Kota Yogyakarta;50,21;10,91;6,18;10,79;2,12;0,68;0,13;10,66;8,32
2021;Jawa Timur;Kab. Pacitan;68,4;2,9;8,3;17;0,5;0,2;0,2;0,5;2
2021;Jawa Timur;Kab. Ponorogo;44,76;0,36;16,53;21,89;0,48;6,61;1,43;0,6;7,34
2021;Jawa Timur;Kab. Trenggalek;;;;;;;;;
2021;Jawa Timur;Kab. Tulungagung;48;16;7;6,5;9;6,7;2,5;2;2,3
2021;Jawa Timur;Kab. Blitar;70,85;1;12,45;7,5;0,9;1,94;0,52;0,92;3,92
2021;Jawa Timur;Kab. Kediri;46,4;22,47;4,28;11,31;0,2;2,02;0,63;4,75;7,94
2021;Jawa Timur;Kab. Lumajang;40,25;17,35;10,65;17,8;1,15;3,25;1,45;1,5;6,6
2021;Jawa Timur;Kab. Banyuwangi;3,12;0,84;18,98;21,78;0,94;1,52;0,57;2,55;49,7
2021;Jawa Timur;Kab. Situbondo;;;;;;;;;
2021;Jawa Timur;Kab. Jombang;48,85;7,27;7,93;12,5;1,24;2,71;1,33;1,24;16,93
2021;Jawa Timur;Kab. Nganjuk;61,5;2;13,1;12,3;6;1;1;1;2,1
2021;Jawa Timur;Kab. Magetan;25;25;8;20;1,5;2;1,8;1,3;15,4
2021;Jawa Timur;Kab. Ngawi;38,3;3,8;10,4;30,6;2,4;2,3;3,7;3,5;5
2021;Jawa Timur;Kab. Bojonegoro;;;;;;;;;
2021;Jawa Timur;Kab. Tuban;58,52;15,32;5,78;11,02;0,17;1,62;0,1;1,33;6,14
2021;Jawa Timur;Kab. Lamongan;30;12;9;18;8;2;2;1;18
2021;Jawa Timur;Kab. Pamekasan;55;4;7;13;3;5;2;2;9
2021;Jawa Timur;Kab. Sumenep;58,62;1,08;20,83;17,33;;0,91;0,26;0,57;0,4
2021;Jawa Timur;Kota Kediri;54,2;7,7;12,4;14,5;4,7;2,2;1,4;0,8;2,1
2021;Jawa Timur;Kota Blitar;53;13,6;5,2;9,1;0,8;2,9;3;3,4;9
2021;Jawa Timur;Kota Malang;;;;;;;;;
2021;Jawa Timur;Kota Probolinggo;60,98;3,68;10,56;19,87;0,82;0,78;0,93;0,96;1,42
2021;Jawa Timur;Kota Pasuruan;10,11;6,4;1,35;6,06;0,07;0,67;0,07;0,13;75,14
2021;Jawa Timur;Kota Madiun;81;1,5;7,9;4;2,5;0,9;0,9;0,8;0,5
2021;Jawa Timur;Kota Surabaya;;;;;;;;;
2021;Jawa Timur;Kota Batu;4;2;6;4;1;;;1;
2021;Banten;Kab. Serang;63,01;;9,13;20,02;1;2;;0,28;4,56
2021;Banten;Kota Cilegon;;;;;;;;;
2021;Banten;Kota Tangerang Selatan;;;;;;;;;
2021;Bali;Kab. Jembrana;11,22;30,88;11,1;22,1;2,1;7;7;2,7;5,9
2021;Bali;Kab. Tabanan;5;39;37;42;;;;;
2021;Bali;Kab. Badung;16;33,9;11,1;28,4;2,6;2,1;0,67;0,9;4,33
2021;Bali;Kab. Gianyar;;58,73;10,89;17,08;3,15;0,76;0,74;;8,65
2021;Bali;Kab. Bangli;12;70;2;3,8;1,5;0,4;0,5;0,8;9
2021;Bali;Kab. Buleleng;2,99;62,57;5,63;10,18;2,82;5,33;4,55;3,33;2,6
2021;Bali;Kota Denpasar;29,3;33,9;6,9;13,7;0,8;0,7;0,3;2,1;12,3
2021;Nusa Tenggara Barat;Kab. Lombok Timur;36;23;3,5;19;7;4;3;4;0,5
2021;Nusa Tenggara Barat;Kab. Sumbawa;38,21;8,18;12,19;20,34;2,36;0,51;0,68;4,28;13,25
2021;Nusa Tenggara Barat;Kota Mataram;64;6;7;9;6;2;2;2;2
2021;Nusa Tenggara Timur;Kab. Alor;;;;;;;;;
2021;Nusa Tenggara Timur;Kab. Manggarai Barat;34,79;17;23,31;11,1;2,65;3,27;1,35;2,97;3,56
2021;Nusa Tenggara Timur;Kota Kupang;28,5;16,5;14;20,5;5;3;1,5;2,5;8,5
2021;Kalimantan Barat;Kab. Sambas;40;5,6;14,2;25;0,3;1;0,9;2;11
2021;Kalimantan Barat;Kab. Mempawah;;;;;;;;;
2021;Kalimantan Barat;Kab. Sanggau;56,21;13,61;4,73;7,1;;;;2,96;15,39
2021;Kalimantan Barat;Kab. Melawi;;;;;;;;;
2021;Kalimantan Barat;Kota Pontianak;;;;;;;;;
2021;Kalimantan Barat;Kota Singkawang;;;;;;;;;
2021;Kalimantan Tengah;Kab. Kapuas;30;22;18;20;6;;;;4
2021;Kalimantan Tengah;Kab. Barito Utara;30;12;14;20;5;5;2;2;10
2021;Kalimantan Tengah;Kab. Seruyan;30;15;10,5;25;2;1,5;5;2,5;8,5
2021;Kalimantan Tengah;Kab. Gunung Mas;20;10;15;50;1;0,5;2;1;0,5
2021;Kalimantan Tengah;Kab. Pulang Pisau;23,51;26,74;13,31;25,13;3,19;2,41;0,83;1,79;3,09
2021;Kalimantan Tengah;Kab. Barito Timur;32;9;7;37;1;5;6,5;1,2;1,3
2021;Kalimantan Tengah;Kota Palangkaraya;42,04;4,33;8,54;19,49;1,28;2,36;2,18;2,04;17,73
2021;Kalimantan Selatan;Kab. Tanah Laut;40;20;10;14;3;4;5;2;2
2021;Kalimantan Selatan;Kab. Kotabaru;34;13;27;11;1;1;0,2;1;11,8
2021;Kalimantan Selatan;Kab. Banjar;;;;;;;;;
2021;Kalimantan Selatan;Kab. Barito Kuala;59,5;9,5;10,5;12;3,1;1,9;0,5;2;1
2021;Kalimantan Selatan;Kab. Tapin;50,24;3,58;10,5;33,4;0,48;0,88;0,15;0,12;0,64
2021;Kalimantan Selatan;Kab. Hulu Sungai Selatan;55,18;1,48;13,13;25,35;2,9;0,46;0,9;0,4;0,2
2021;Kalimantan Selatan;Kab. Hulu Sungai Tengah;40,04;1,4;4,05;24,91;3,63;1,05;1,24;1,47;22,21
2021;Kalimantan Selatan;Kab. Hulu Sungai Utara;50,63;9,21;9,83;13,78;0,85;0,65;1,09;7,8;6,16
2021;Kalimantan Selatan;Kab. Tabalong;36;2;17;24;1;3;;3;14
2021;Kalimantan Selatan;Kab. Tanah Bumbu;;;;;;;;;
2021;Kalimantan Selatan;Kab. Balangan;57,46;10,24;10,95;14,62;2,06;1,67;0,72;1,2;1,08
2021;Kalimantan Selatan;Kota Banjarmasin;55,89;0,64;9,39;12,77;1,36;14,93;1,63;2,71;0,68
2021;Kalimantan Selatan;Kota Banjarbaru;48,3;4,2;16;23,7;0,5;0,3;0,4;0,1;6,5
2021;Kalimantan Timur;Kab. Paser;54,99;0,22;10,2;13,64;1,38;13,56;1,2;3,52;1,29
2021;Kalimantan Timur;Kab. Kutai Kartanegara;73,92;0,98;10,43;7,86;2,04;1,57;0,55;1,75;0,9
2021;Kalimantan Timur;Kab. Kutai Timur;43;20;7;22;2;1;2;2;1
2021;Kalimantan Timur;Kab. Penajam Paser Utara;46,13;1,09;20,87;29,83;0,22;0,02;0,67;0,83;0,34
2021;Kalimantan Timur;Kota Balikpapan;42,3;6,36;10,26;7,2;3,87;2,94;0,98;6,56;19,53
2021;Kalimantan Timur;Kota Samarinda;53,39;7;17;19,9;0,65;0,62;0,06;0,92;0,46
2021;Kalimantan Timur;Kota Bontang;44,12;6;27,5;18;2,1;0,03;0,25;1,05;0,95
2021;Kalimantan Utara;Kab. Nunukan;46,4;8,2;23,4;21,3;0,2;0,2;0,1;0,1;0,1
2021;Kalimantan Utara;Kab. Tana Tidung;;;;;;;;;
2021;Sulawesi Utara;Kab. Kepulauan Sangihe;51,1;4,89;5,2;26;0,4;3,3;0,5;2;6,61
2021;Sulawesi Utara;Kab. Minahasa Selatan;20;12;12;36;4;4;5;2;5
2021;Sulawesi Utara;Kab. Minahasa Tenggara;36,08;9,68;12,16;11,04;4,28;4,26;3,24;5,14;14,12
2021;Sulawesi Utara;Kab. Bolaang Mongondow Utara;2;15;1;8;0,5;1;0,3;0,5;71,7
2021;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;20;10;10;25;5;12;10;5;3
2021;Sulawesi Utara;Kota Manado;47,7;1,14;18,66;19,48;0,26;1,54;1,49;1,85;7,88
2021;Sulawesi Utara;Kota Bitung;48,2;2,05;18,03;19,07;0,36;1,48;1,37;1,83;7,61
2021;Sulawesi Utara;Kota Tomohon;;;;;;;;;
2021;Sulawesi Utara;Kota Kotamobagu;53,5;5;11,8;8,5;5,7;3,6;2,6;2,8;6,5
2021;Sulawesi Tengah;Kab. Donggala;35;10;20;13;6;3;3;3;7
2021;Sulawesi Tengah;Kab. Parigi Moutong;;;;;;;;;
2021;Sulawesi Tengah;Kab. Sigi;;;;;;;;;0
2021;Sulawesi Tengah;Kab. Banggai Laut;;;;;;;;;
2021;Sulawesi Tengah;Kota Palu;;;;;;;;;
2021;Sulawesi Selatan;Kab. Kepulauan Selayar;;;;;;;;;
2021;Sulawesi Selatan;Kab. Bulukumba;15;10;25;20;5;5;5;5;10
2021;Sulawesi Selatan;Kab. Bantaeng;30,13;27,5;11;14;1,24;3;2;1,13;10
2021;Sulawesi Selatan;Kab. Jeneponto;27;18;10;18;6;1,5;5;1,5;13
2021;Sulawesi Selatan;Kab. Sinjai;31,5;13;31,09;14,68;8,2;0,87;0,44;0,08;0,14
2021;Sulawesi Selatan;Kab. Bone;73,2;0,5;10,1;8,7;3,1;0,3;1,1;1,1;1,9
2021;Sulawesi Selatan;Kab. Maros;73,98;7,9;3,18;7,86;2,21;0,57;0,55;0,25;3,5
2021;Sulawesi Selatan;Kab. Pangkajene Kepulauan;63,13;10,83;8,99;7,29;6,5;0,72;0,19;1,55;0,8
2021;Sulawesi Selatan;Kab. Barru;57;12,5;6;15;2,5;1;1;1;4
2021;Sulawesi Selatan;Kab. Soppeng;;;;;;;;;
2021;Sulawesi Selatan;Kab. Wajo;41,03;17,34;7,2;17,02;2,1;3,9;6,4;2,9;2,11
2021;Sulawesi Selatan;Kab. Sidenreng Rappang;56;9,6;6,2;6,6;4,5;3,6;4,2;4,4;4,9
2021;Sulawesi Selatan;Kab. Pinrang;;;;;;;;;
2021;Sulawesi Selatan;Kab. Enrekang;;;;;;;;;
2021;Sulawesi Selatan;Kab. Luwu Timur;40;10;25;15;3;1;2;2;2
2021;Sulawesi Selatan;Kota Makassar;;;;;;;;;
2021;Sulawesi Selatan;Kota Parepare;51,8;11,35;12,45;11,2;3,75;1,95;2,1;2,75;2,65
2021;Sulawesi Selatan;Kota Palopo;30;25;20;15;8;;;;2
2021;Sulawesi Tenggara;Kab. Wakatobi;;;;;;;;;
2021;Sulawesi Tenggara;Kota Kendari;43,65;17,44;16,78;17,25;1,54;0,72;1,06;1,16;0,4
2021;Gorontalo;Kota Gorontalo;21;10;10;30;8;5;7;9;
2021;Sulawesi Barat;Kab. Mamuju;;;;;;;;;
2021;Sulawesi Barat;Kab. Majene;;;;;;;;;
2021;Sulawesi Barat;Kab. Mamuju Tengah;;;;;;;;;
2021;Maluku;Kab. Maluku Tengah;;;;;;;;;
2021;Maluku;Kab. Buru Selatan;33;22;11;23;2;1;1;2;5
2021;Maluku;Kota Tual;8,5;17,5;10,8;15,8;5,6;9,3;7;6,7;18,8
2021;Maluku Utara;Kota Tidore Kepulauan;34;25;12;11,8;2,3;0,8;1,5;5,8;6,8
2021;Papua;Kab. Jayapura;40;;20;20;3;;;;
2021;Papua;Kab. Biak Numfor;12,88;39,22;22,35;11,63;10,46;0,01;0,13;3,32;
2021;Papua;Kab. Keerom;10;10;5;45;10;5;5;5;5
2021;Papua;Kota Jayapura;67,39;10,5;4,78;6,59;4,22;2,04;1,09;0,45;2,94
2021;Papua Barat;Kab. Manokwari;44;;11;26;;;;;19
2021;Papua Selatan;Kab. Asmat;20;10;15;40;4;3;3;3;2
2021;Papua Tengah;Kab. Nabire;62,56;15,13;4,6;11,32;0,48;1,95;;1,79;2,17
2021;Papua Pegunungan;Kab. Lanny Jaya;;;;;;;;;
2021;Papua Barat Daya;Kab. Sorong Selatan;;;;;;;;;
2021;Papua Barat Daya;Kab. Tambrauw;;;;;;;;;
2020;Aceh;Kab. Aceh Timur;37;14;5;26;5;3;2;4;4
2020;Aceh;Kab. Aceh Tengah;22;18;7;26;3;11;5;5;3
2020;Aceh;Kab. Simeulue;5,18;13,05;11,93;35,73;16,88;6,65;5,55;2,03;3
2020;Aceh;Kab. Aceh Jaya;;;;;;;;;
2020;Aceh;Kab. Bener Meriah;20;20;10;15;5;10;5;5;10
2020;Aceh;Kota Banda Aceh;35,2;11,5;3;6,8;4,5;7,5;9,3;4,5;17,7
2020;Aceh;Kota Sabang;;;;;;;;;
2020;Aceh;Kota Langsa;18;21;4;8;13;10;7;8;11
2020;Sumatera Utara;Kab. Langkat;37;31;24,4;7;0,2;0,2;0,2;;
2020;Sumatera Utara;Kab. Deli Serdang;20,5;24;13,8;20,2;6;5;3;2;5,5
2020;Sumatera Utara;Kab. Asahan;1,16;61,4;7,18;13,04;2;5,48;0,44;1,33;7,97
2020;Sumatera Utara;Kab. Dairi;55,53;10,99;12,48;19,26;0,32;0,35;0,2;0,53;0,34
2020;Sumatera Utara;Kab. Humbang Hasundutan;12;55;10;13;3;1;0,2;0,8;5
2020;Sumatera Utara;Kab. Samosir;24;10;20;30;6,2;2;1;0,8;6
2020;Sumatera Utara;Kota Medan;48;5;17;14;1;4;2;1;8
